subject,predicate,object
tea:acitivity_tea-ceremony,rdf:type,crm:E7_Activity
tea:acitivity_tea-ceremony,owl:sameAs,wd:Q202298
tea:acitivity_tea-ceremony,dcterms:contributor,tea:person_sen-no-rikyu
tea:person_sen-no-rikyu,rdf:type,foaf:Person
tea:person_sen-no-rikyu,owl:sameAs,wd:Q305477
tea:person_sen-no-rikyu,rdfs:label,Sen no Riky?
tea:person_sen-no-rikyu,schema:hasRole,Japanese tea master
tea:person_honami-koetsu,rdf:type,foaf:Person
tea:person_honami-koetsu,owl:sameAs,wd:Q3139920
tea:person_honami-koetsu,rdfs:label,Honami K?etsu
tea:person_okakura-kakuzo,rdf:type,foaf:Person
tea:person_okakura-kakuzo,owl:sameAs,wd:Q942995
tea:person_okakura-kakuzo,rdfs:label,Okakura Kakuzo
tea:person_okakura-kakuzo,foaf:member,wd:Q49133
wd:Q49133,rdf:type,foaf:Organization
wd:Q49133,rdfs:label,Museum of Fine Arts Boston
wd:Q160236,rdf:type,foaf:Organization
wd:Q160236,rdfs:label,Metropolitan Museum of Art
wd:Q926,rdf:type,foaf:Person
wd:Q926,rdfs:label,Claude Monet
wd:Q926,crm:P91_has_created,wd:Q11899
wd:Q11899,rdf:type,crm:E78_Collection
wd:Q11899,rdfs:label,Water Lilies
wd:Q11899,crm:P190_has_symbolic_content,skos:Concept
gn:1861060,rdfs:label,Japan
gn:1861060,rdf:type,dcterms:Location
wd:Q184963,rdf:type,crm:E4_Period
wd:Q184963,rdfs:label,Edo Period (1603-1868)
wd:Q3006804,schema:usedIn,tea:acitivity_tea-ceremony
wd:Q95965973,schema:usedIn,tea:acitivity_tea-ceremony
wd:Q483444,crm:P101_had_as_general_use ,tea:acitivity_tea-ceremony
wd:Q38142,rdfs:label,samurai
wd:Q2740942,rdfs:label,kintsugi
wd:Q2740942,rdf:type,crm:E29_Design_or_Procedure
wd:Q2740942,dcterms:contributor,tea:person_sen-no-rikyu
tea:place_roji,rdfs:label,roji (tea garden)
tea:place_roji,owl:sameAs,wd:Q402729
tea:place_roji,schema:isPartOf,tea:acitivity_tea-ceremony
tea:place_roji,rdf:type,crm:E53_Place
tea:place_tearoom,rdfs:label,chashitsu(tea room)
tea:place_tearoom,owl:sameAs,wd:Q402729
tea:place_tearoom,schema:isPartOf,tea:acitivity_tea-ceremony
tea:place_tearoom,rdf:type,crm:E53_Place
tea:place_tearoom,crm:P89_falls_within,tea:place_tearoom
tea:acitivity_ikebana,rdf:type,crm:E7_Activity
tea:acitivity_ikebana,owl:sameAs,wd:Q178459
tea:acitivity_ikebana,rdfs:label,ikebana (japanese flower arrangement)
tea:acitivity_ikebana,skos:related,tea:acitivity_tea-ceremony
tea:concept_zen,rdf:type,skos:Concept
tea:concept_zen,owl:sameAs,wd:Q7953
tea:concept_zen,rdfs:label,zen
tea:concept_zen,crm:P15_influenced,tea:place_tearoom
tea:concept_zen,crm:P15_influenced,tea:acitivity_tea-ceremony
tea:concept_zen,skos:related,tea:concept_taoism
tea:concept_zen,skos:related,tea:concept_wabisabi
tea:concept_taoism,rdf:type,skos:Concept
tea:concept_taoism,owl:sameAs,wd:Q9598
tea:concept_taoism,rdfs:label,Taoism
tea:concept_taoism,crm:P15_influenced,tea:acitivity_tea-ceremony
tea:concept_wabisabi,rdf:type,skos:Concept
tea:concept_wabisabi,owl:sameAs,wd:Q1142664
tea:concept_wabisabi,rdfs:label,wabi sabi
tea:concept_wabisabi,crm:P15_influenced,tea:acitivity_ikebana
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
